Time Bucket (America/Chicago),Vue-Mains_A (kWatts),Vue-Mains_B (kWatts),Vue-Mains_C (kWatts),Vue-Cooktop/Range/Oven/Stove-Oven 4 (kWatts),Vue-Air Conditioner-AC Up Aux Heat - 8 (kWatts),Vue-Air Conditioner-AC Down Compressor - 10 (kWatts),Vue-Cooktop/Range/Oven/Stove-Stove 16 (kWatts),Vue-Dishwasher-Dishwasher 24 (kWatts),Vue-Kitchen-Kitchen 26 (kWatts),Vue-Fridge/Freezer-Refrigerator (kWatts),Vue-Room/Multi-use Circuit-Annie Marie's Room (kWatts),Vue-Water Heater-Water Heater 19 (kWatts),Vue-Air Conditioner-AC Up Compressor - 11 (kWatts),Vue-Air Conditioner-AC Up Air Handler - 7 (kWatts),Vue-Air Conditioner-AC Down Air Handler - 3 (kWatts),Vue-Garage/Shop/Barn/Shed-Garage 35 (kWatts),Vue-Computer/Network-Gym 39 (kWatts),Vue-Computer/Network-Bruno Office 34 (kWatts),Vue-Air Conditioner-AC Down Aux Heat - 15 (kWatts)
06/04/2026 05:28:58,4.0402,4.1924,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0693,3.7488,2.5034,0.2962,0.0195,0.0284,0.1618,0.1485,0.0000
06/04/2026 05:28:59,4.0344,4.1869,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0690,3.7483,2.4988,0.2953,0.0194,0.0289,0.1625,0.1442,0.0000
06/04/2026 05:29:00,4.0306,4.1889,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0689,3.7437,2.4992,0.2949,0.0000,0.0288,0.1614,0.1436,0.0000
06/04/2026 05:29:01,4.0306,4.2153,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0674,3.7380,2.4987,0.2946,0.0183,0.0285,0.1597,0.1443,0.0000
06/04/2026 05:29:02,4.0338,4.2222,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0689,3.7423,2.5003,0.2960,0.0188,0.0287,0.1615,0.1459,0.0000
06/04/2026 05:29:03,4.0388,4.2234,No CT,0.0000,0.0000,0.0000,0.0000,0.0054,0.0000,0.0000,0.0701,3.7485,2.5050,0.2970,0.0000,0.0291,0.1613,0.1428,0.0000
06/04/2026 05:29:04,4.0385,4.2310,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0678,3.7504,2.5014,0.2950,0.0000,0.0293,0.1620,0.1477,0.0000
06/04/2026 05:29:05,4.0348,4.2202,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0717,3.7470,2.4979,0.2947,0.0000,0.0287,0.1614,0.1430,0.0000
06/04/2026 05:29:06,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:07,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:08,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:09,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:10,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:11,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:12,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:13,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:14,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:15,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:16,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:17,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:18,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:19,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:20,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:21,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:22,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:23,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:24,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:25,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:26,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:27,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
06/04/2026 05:29:28,4.0366,4.2346,No CT,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.0000,0.0693,3.7466,2.5007,0.2952,0.0120,0.0287,0.1618,0.1442,0.0000
